Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Monaco,MCO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.037190001,0.038210001,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Monaco,MCO,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Monaco,MCO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.33,..,..,..,..,..,..
Monaco,MCO,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Monaco,MCO,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,66.65902053,66.9146848,66.74432281,65.97896801,65.20688746,64.627313,64.30434314,64.2949186,64.17529066,63.76887474,63.49065738,63.30353515,63.13029853,63.11973388,63.23258714,63.17655586,63.08666525,63.19640271,63.43419888,63.81947938,64.31776633,64.89700924,65.3453497,65.44398785,65.35421984,65.26538689,65.20174146,65.16890117,65.17624952,65.35175211,65.51979953,65.47408716,65.34608453,65.22047447,65.07375292,64.90693094,64.76244522,64.60578382,64.47166209,64.44502755,64.41915264,64.21625287,63.90415612,63.59444866,63.30556977,63.06995846,62.91743463,62.86019546,62.43801394,61.21321544,59.6545956,58.17498895,56.80321609,55.58848852,54.5153697,53.5187704,52.89785679,52.63669371,52.33060574,51.93335854,51.537024,51.22390013,51.048836
Monaco,MCO,"Population, total",SP.POP.TOTL,21797,21907,22106,22442,22766,23022,23198,23281,23481,23875,24270,24610,24889,25102,25262,25524,25898,26242,26553,26834,27076,27284,27573,27985,28407,28807,29171,29500,29802,30078,30329,30564,30794,31024,31253,31482,31719,31968,32209,32394,32465,32444,32386,32316,32236,32141,32011,31823,31862,32401,33178,33945,34700,35425,36110,36760,37071,37044,37029,37034,36922,36686,36469
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,293073868,327651488,402460333.2,523552815.1,563939670.7,711922994.2,735339911.9,811250927.4,1000535735,1209898293,1378130996,1205166026,1143229072,1092551781,1037314956,1082851077,1515209588,1839095595,2000674667,2010116851,2481316054,2480497539,2737067002,2574440023,2720297793,3130270895,3137848801,2840182221,2934578821,2907075360,2654476597,2673738413,2919691961,3597052153,4117728151,4204651894,4586828062,5875376402,6502945305,5473265702,5367561640,6088690667,5742748406,6555590642,7069351224,6261646950,6472837333,6431274938,7194256778,7383941919,6739642360,8596156574,..
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1328.237815,1432.487502,1492.921975,1121.327362,1138.956796,1470.207231,1494.241213,1545.234053,1686.592152,1184.762914,1081.33412,589.141694,338.4565525,402.2650748,623.1574552,570.9379005,495.8218917,467.5139344,435.4184944,463.8538819,512.81947,559.827709,633.9465596,784.912072,986.0180411,1322.640676,1625.318473,2134.949833,1718.914022,2660.288176,3793.743654,4402.304523,4422.300876,4211.939435,3919.351214,3690.756778,3708.248221,4165.022821,4394.94715,4041.174145,4566.140131,4946.754811
Mongolia,MNG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.167860001,0.166429996,0.15016,0.187570006,0.26749,0.251729995,0.251800001,0.267769992,0.237760007,0.191210002,0.23827,0.336670011,0.304780006,0.244379997,0.230540007,0.239130005,0.232460007,0.223399997,0.156399995,0.183449998,0.134200007,0.101609997,0.092699997,0.13301,..,..
Mongolia,MNG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.62167338,41.4415301,51.43452984,37.07128268,49.47963203,54.62757869,71.57533405,83.9144977,78.41832771,69.09979809,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.96531474,60.84403972,73.93678352,67.57101432,..
